Title, Type, Rating 
Family Guy, ,  
The Walking Dead: Daryl Dixon, ,  
The Winter King, ,  
The Continental: From the World of John Wick, ,  
Power Book IV: Force, ,  
The Changeling, ,  
The Wheel of Time, ,  
Power Book IV: Force, HDTV, 2.6 
Loki, HDTV, 2.1 
The Continental: From the World of John Wick, HDTV, 1.3 
Gen V, HDTV, 1.4 
The Walking Dead: Daryl Dixon, HDTV, 1.5 
Power Book IV: Force, HDTV, 2.5 
The Continental: From the World of John Wick, HDTV, 1.2 
The Winter King, HDTV, 1.6 
The Wheel of Time, HDTV, 2.8 
The Walking Dead: Daryl Dixon, HDTV, 1.4 
Gen V, HDTV, 1.1 
The Continental: From the World of John Wick, HDTV, 1.1 
The Chi, HDTV, 6.8 
Family Guy, HDTV, 22.1 
Ahsoka, HDTV, 1.8 
Gen V, HDTV, 1.3 
Gen V, HDTV, 1.2 
Billions , HDTV, 7.9 
Chucky, HDTV, 3.1 
American Horror Story, HDTV, 12.3 
Shoresy, HDTV, 2.1 
Special Ops: Lioness, HDTV, 1.2 
Power Book IV: Force, HDTV, 2.4 
Quantum Leap, HDTV, 2.1 
Beckham, HDTV, 1.1 
Transplant, HDTV, 4.1 
Our Flag Means Death, HDTV, 2.1 
Power Book IV: Force, HDTV, 2.3 
Ahsoka, HDTV, 1.7 
The Wheel of Time, HDTV, 2.7 
Loki, HDTV, 1.1 
Loki, HDTV, 1.6 
The Changeling, HDTV, 1.7 
Hell's Kitchen, HDTV, 22.1 
The Walking Dead: Daryl Dixon, HDTV, 1.3 
